sekolah_id,nama,npsn,bentuk_pendidikan,jenjang,alamat_jalan,kode_desa_kelurahan,desa_kelurahan,kode_kecamatan,kecamatan,kode_kabupaten,kabupaten,kode_provinsi,provinsi,kode_pos,email,kebutuhan_khusus,status_sekolah,sk_pendirian_sekolah,tanggal_sk_pendirian,status_kepemilikan,yayasan,sk_izin_operasional,tanggal_sk_izin_operasional,rekening_atas_nama,mbs,kode_registrasi,npwp,nm_wp,keaktifan,wilayah_terpencil,wilayah_perbatasan,wilayah_transmigrasi,wilayah_adat_terpencil,wilayah_bencana_alam,wilayah_bencana_sosial,partisipasi_bos,akses_internet,akses_internet_2,akreditasi,akreditasi_sp_tmt,akreditasi_sp_sk,luas_tanah_milik,luas_tanah_bukan_milik,angkatan_psp
10e1dde1-023c-e111-b314-05065586b2c1,SD NEGERI 2 SUKA DAMAI,50202615,SD,SD    ,Senanti,230315AJ,SUKADAMAI,230315,Kec. Jerowaru,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83676,sdn08sukaraja@gmail.com,Tidak ada,Negeri,01,1983-07-18,Pemerintah Daerah,Tidak Ada Data,188.45/461/DIKBUD/2020,2020-08-04,SDN8SUKARAJABOS...,1,248.343.079.959.554,003094554915000          ,SDN 8 SUKARAJA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,500 Mb,Tidak Ada,B,2021-12-08,1346/BAN-SM/SK/2021,3.699,0,0
201f21e2-023c-e111-bb1c-0506b8c20f73,SEKOLAH DASAR NEGERI KELAWIS KECAMATAN ORONG TELU,50205269,SD,SD    ,Dusun Kelawis,230428AB,Kelawis,230428,Kec. Orong Telu,230400,Kab. Sumbawa,230000,Prov. Nusa Tenggara Barat,84373,sdnkelawis@yahoo.co.id,Tidak ada,Negeri,Nomor 9 Tahun 2025,NaT,Pemerintah Daerah,Tidak Ada Data,Nomor 9 Tahun 2025,NaT,SDNEGERIKELAWIS...,1,248.631.884.004.354,004755914913000          ,Tidak Ada Data,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak Ada,Tidak Ada,C,NaT,087/BAN-PDM/SK/2024,4.970,0,0
4025ade4-023c-e111-b8ee-0506f2654673,SMP NEGERI 1 BELO,50204004,SMP,SMP   ,Jl. Sultan Alauddin No. 1001 Desa Ngali Kec. Belo Kab. Bima,230604AD,Ngali,230604,Kec. Belo,230600,Kab. Bima,230000,Prov. Nusa Tenggara Barat,84173,dapodiksmpn1belo@gmail.com,Tidak ada,Negeri,Tidak Ada Data,1982-10-09,Pemerintah Pusat,Tidak Ada Data,-,1910-01-01,BOS SMPN 1 BELO,1,93.008.333.834.054,002926327912000          ,Dinas Dikpora Kabupaten Bima,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,300 Mb,Tidak Ada,B,2021-12-08,1346/BAN-SM/SK/2021,19.698,0,0
b0268ee1-023c-e111-b1a6-0507a9248384,SD NEGERI 2 BONJERUK,50201933,SD,SD    ,Bonjeruk,230207AL,BONJERUK,230207,Kec. Jonggat,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83561,sdn2bonjeruk@gmail.com,Tidak ada,Negeri,421/906/DPK,1958-01-08,Pemerintah Daerah,Tidak Ada Data,-,1910-01-01,SDN2BONJERUK...,1,248.000.650.689.538,001305572915000          ,SDN 2 Bonjeruk,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,50 Mb,Tidak Ada,B,2021-12-08,1347/BAN-SM/SK/2021,2.400,0,0
200017e2-023c-e111-9411-050a64d1b0ad,SEKOLAH DASAR NEGERI TERO KECAMATAN EMPANG,50203362,SD,SD    ,Dusun Tero,230414AD,Jotang,230414,Kec. Empang,230400,Kab. Sumbawa,230000,Prov. Nusa Tenggara Barat,84384,sdntero@gmail.com,Tidak ada,Negeri,Nomor 9 Tahun 2025,NaT,Pemerintah Daerah,Tidak Ada Data,Nomor 9 Tahun 2025,NaT,SDNTERO...,1,248.588.414.237.698,004756367913000          ,SDN TERO,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak Ada,Tidak Ada,B,NaT,104/BAN-PDM/SK/2024,4.400,0,2
202403ec-2002-e211-a1ce-050e4c4839d8,SMP NEGERI SATU ATAP 1 TERARA,50220308,SMP,SMP   ,Lendang Re,230303AM,PANDAN DURI,230303,Kec. Terara,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83663,sdsmpnsatuatap1terara@gmail.com,Tidak ada,Negeri,188.45./403/PDK/2007,1910-01-01,Pemerintah Daerah,Tidak Ada Data,188.45/463/DIKBUD/2020,2020-08-04,SDMPSATAP1TERARA...,0,259.498.235.134.496,003094554915000          ,BEND.SDSMP SATAP 1 TERARA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak Ada,Tidak Ada,C,2021-12-08,1347/BAN-SM/SK/2021,1.395,0,0
60c5b8e1-023c-e111-99e4-051582c55297,SD NEGERI 2 RANGGAGATA,50201181,SD,SD    ,Berobot,230211AC,RANGGAGATA,230211,Kec. Praya Barat Daya,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83572,sdranggagata@gmail.com,Tidak ada,Negeri,23.02.11.0740.007,1976-01-01,Pemerintah Daerah,Tidak Ada Data,-,1910-01-01,SDN2RANGGAGATA...,1,248.183.701.650.434,001305572915000          ,Bendahara SDN 2 Ranggagata,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,B,NaT,087/BAN-PDM/SK/2024,3.136,0,0
850a68f5-6eb7-4581-826c-051c5ee4030c,TK IT ANAK SHOLEH,69824368,TK,PAUD  ,LINTAS WORO RT. 13 RW. 005,230613AA,Dena,230613,Kec. Mada pangga,230600,Kab. Bima,230000,Prov. Nusa Tenggara Barat,84161,tkit_anaksholehmadapangga@yahoo.co.id,Tidak ada,Swasta,03/ SK-LPKBM/AL-KH/V/ 2013,2013-05-27,Yayasan,AHSANUN NIDA,421.1/22/01.1/D/PAUD.TK/MP/2023,2023-01-02,69824368 TK IT ANAK SHOLEH,1,159.393.660.533.957,032192940912002          ,TAMAN KANAK-KANAK ISLAM TERPADU ANAK SHOLEH,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,50 Mb,Tidak Ada,B,2023-12-19,164/BAN-PDM/SK/2023,500,100.000,0
603fcbe1-023c-e111-a316-052721458289,SD NEGERI 1 KILANG,50202928,SD,SD    ,Kilang,230317AB,KILANG,230317,Kec. Montong Gading,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83664,sdn1kilang@gmail.com,Tidak ada,Negeri,-,1955-07-15,Pemerintah Daerah,Tidak Ada Data,-,1910-01-01,SDN1KILANG...,1,248.263.057.882.114,003094554915000          ,WAHAB,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,C,2022-11-30,1857/BAN-SM/SK/2022,2.000,0,0
04216330-caa9-4d2c-b34e-052880804a8f,KB AL-IHSAN,69816081,KB,PAUD  ,TGH. ABDUL HAFIDZ,230110AB,Jagaraga,230110,Kec. Kuripan,230100,Kab. Lombok Barat,230000,Prov. Nusa Tenggara Barat,83362,sri.martini96@yahoo.com,Tidak ada,Swasta,01/PD_AI/BRM/JGR/XI/2011,NaT,Yayasan,AL IHSAN,120-PAUD/PAUD NI/DIKBUD/2013,2013-02-25,69816081 KB AL IHSAN,0,53.202.313.849.290,720770189915000          ,PAUD AL IHSAN,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,5 Mb,Tidak Ada,C,NaT,023/BAN PAUD PNF/AKR/2017,8.000,100,0
f0a34f72-2248-465d-acee-0531076fd309,KB RISALUDIN,70031546,KB,PAUD  ,Dusun Batu Nyala,230313AG,SURABAYA UTARA,230313,Kec. Sakra Timur,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83674,paudrisaludinbtn17@gmail.com,Tidak ada,Swasta,503/5412/PMPTSP-PAUD/12/2021,2021-12-17,Lainnya,Tidak Ada Data,503/5610/PMPTSP-PAUD/12/2021,2021-12-28,70031546 KB RISALUDIN,0,125.686.378.416.162,612419853-915000         ,PAUD RISALUDIN,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,3 Mb,Tidak Ada,B,NaT,Tidak Ada Data,500,200,0
e040bfe2-023c-e111-b7ff-053f0b0de410,SD NEGERI 1 SIGAR PENJALIN,50200791,SD,SD    ,Cupek,230801AA,Sigar Penjalin,230801,Kec. Tanjung,230800,Kab. Lombok Utara,230000,Prov. Nusa Tenggara Barat,83352,sdnsigarpenjalin@gmail.com,Tidak ada,Negeri,800/074/01/Dikpora/2018,1948-08-01,Pemerintah Daerah,Tidak Ada Data,800/074/01/Dikpora/2018,1948-08-01,SDN1SIGARPENJALIN/BOS...,1,249.311.055.068.162,001214618914000          ,SDN 1 SIGAR PENJALIN,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,10 Mb,Tidak Ada,A,2025-01-06,025/BAN-PDM/SK/2025,3.224,0,0
e09d88e1-023c-e111-8e1b-05406529cb05,SD NEGERI SONGKOK,50201349,SD,SD    ,Songkok,230203AG,SUKARAJA,230203,Kec. Praya Timur,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83581,sdnsongkok5@gmail.com,Tidak ada,Negeri,01/01/1981,1978-01-01,Pemerintah Daerah,Tidak Ada Data,-,1910-01-01,SDNSONGKOK...,1,247.976.880.520.194,001305572915000          ,SDN SONGKOK,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,B,2021-12-08,1346/BAN-SM/SK/2021,2.557,0,0
301a9192-8bfe-e111-a0b9-0541e6608118,SDIT INSAN KAMIL SANTI KOTA BIMA,50219767,SD,SD    ,Jln Imam Bonjol,236105AI,Santi,236105,Kec. Mpunda,236100,Kota Bima,230000,Prov. Nusa Tenggara Barat,84151,sditinsankamilkobi@yahoo.com,Tidak ada,Swasta,27,2007-01-06,Yayasan,Taawun Kota Bima,508,NaT,SDITINSANKAMILKOBI...,1,230.325.522.967.446,819106337912000          ,SDIT INSAN KAMIL SANTI KOTA BIMA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,50 Mb,Tidak Ada,A,2020-12-15,1334/BAN-SM/SK/2020,1.500,350,1
80ab4405-7bfe-e111-9760-05442694d183,SD NEGERI 1 BANJARSARI,50203038,SD,SD    ,Jl. HOS Cokroaminoto - Loang Tuna.,230311AK,BANJAR SARI,230311,Kec. Labuhan Haji,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83616,sdn1banjarsari.lotu@gmail.com,Tidak ada,Negeri,-,1910-01-01,Pemerintah Daerah,Tidak Ada Data,188.45/461/DIKBUD/2020,2020-08-04,SDN1TEROSBOS...,1,5.792.493.272.699,003094554915000          ,SDN 1 TEROS,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,A,2025-01-06,025/BAN-PDM/SK/2025,6.590,0,0
80df5a05-7bfe-e111-98c3-0547f535c2f3,SD NEGERI 2 Puncak Jeringo,50220442,SD,SD    ,Jeringo,230320AG,puncak jeringo,230320,Kec. Suela,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83657,sdnpuncakjeringo@gmail.com,Tidak ada,Negeri,01/SD/J/1989,1989-03-01,Pemerintah Daerah,Tidak Ada Data,188.45/186/DIK/2011,2011-03-19,SDN 2 PUNCAK JERINGO,1,5.887.854.968.443,003094554915000          ,SDN 2 PUNCAK JERINGO,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,5 Mb,Tidak Ada,B,2025-04-11,195/BAN-PDM/SK/2025,4.000,0,0
e058c2e1-023c-e111-9985-054cd8c6a002,SD NEGERI 2 RARANG,50202133,SD,SD    ,Jln. Raya Rarang,230303AC,Rarang,230303,Kec. Terara,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83663,sdnrarang2@gmail.com,Tidak ada,Negeri,-,1976-01-01,Pemerintah Daerah,Tidak Ada Data,188.45/461/DIKBUD/2020,2020-08-04,SDN4RARANG...,1,248.224.830.995.458,003094554915000          ,BENDAHARA SDN 4 RARANG,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,3 Mb,Tidak Ada,A,NaT,087/BAN-PDM/SK/2024,3.037,0,0
e02edf7c-74fe-e111-841c-0551fbe3898c,SMP Al Muslimin NW Piling,60729238,SMP,SMP   ,Dusun Piling,230204AE,Pendem,230204,Kec. Janapria,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83554,smp.almuslimin@yahoo.com,Tidak ada,Swasta,01/yy-almus/I/2008,2008-01-01,Yayasan,Al-Muslimin NW,236/AL-MS/SMP-NW/2008,2008-08-12,SMP AL-MUSLIMIN NW PILING,1,137.298.006.048.372,001305572915000          ,YAYASAN AL MUSLIMIN NW PILING,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,B,2021-12-08,1347/BAN-SM/SK/2021,6.000,0,0
a088b7e1-023c-e111-afdc-055a409c74b1,SD NEGERI 3 UNGGA,50201164,SD,SD    ,Jl. Ungga-Darek Dusun Banteng Kurus Desa Ungga Kec. Praya Barat Daya,230211AD,Ungga,230211,Kec. Praya Barat Daya,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83572,sdn3ungga@yahoo.com,Tidak ada,Negeri,4211/997/Disdik,1979-07-16,Pemerintah Daerah,Tidak Ada Data,421.2/1997/Disdik,2022-03-17,SDN3UNGGA...,1,248.178.387.467.266,001305572915000          ,BEND. SDN 3 UNGGA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,500 Mb,Tidak Ada,B,2022-10-20,1453/BAN-SM/SK/2022,1.980,0,0
40e69de1-023c-e111-920a-056c0e17f255,SD NEGERI 1 GERUNUNG,50201854,SD,SD    ,Gerunung,230206AA,Gonjak,230206,Kec. Praya,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,83511,SDN1GERUNUNG1948@gmail.com,Tidak ada,Negeri,Tidak Ada Data,NaT,Pemerintah Daerah,Tidak Ada Data,-,1910-01-01,SDN1GERUNUNG...,1,248.068.289.084.418,005305024915000          ,Tidak Ada Data,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,500 Mb,Tidak Ada,B,2021-12-08,1346/BAN-SM/SK/2021,2.251,0,0
75d84c43-c86b-4a3e-bb5c-056f01612055,KB Bina Balita,69810846,KB,PAUD  ,Dusun Ponong,230414AA,Empang Atas,230414,Kec. Empang,230400,Kab. Sumbawa,230000,Prov. Nusa Tenggara Barat,84384,paudbinabalita2011@gmail.com,Tidak ada,Swasta,50,2013-03-19,Lainnya,PAUD BINA BALITA,91 Tahun 2012,2012-06-19,69810846 KB BINA BALITA,0,73.997.328.149.448,032345621913000          ,YAY.PAUD BINA BALITA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,2 Mb,Tidak Ada,B,NaT,Tidak Ada Data,1,150,0
90d7e4e1-023c-e111-bbb5-0578da85410f,SD NEGERI 2 DARMASARI,50205763,SD,SD    ,Loang Sorok Selatan,230304AI,DARMA SARI,230304,Kec. Sikur,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,83662,sdnduadarmasari@gmail.com,Tidak ada,Negeri,01,NaT,Pemerintah Daerah,Tidak Ada Data,188.45/461/DIKBUD/2020,2020-08-04,SDN3SEMAYA...,1,248.372.985.347.074,003094554915000          ,SDN 3 SEMAYA,1,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,30 Mb,Tidak Ada,B,2023-10-31,108/BAN-PDM/SK/2023,1.520,0,0
